"sequence","lotation_code","lotation_type_code","lotation_type_description","calculation_base","incidence_indicator","remuneration_base","fgts_to_deposit","fgts_notification","rubric_nature"
"1","E00490-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","89909.80","7192.48","-","-"
"1","E00490-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","280.78","22.45","-","-"
"1","E00490-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","2452.89","196.22","-","-"
"1","E00490-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","2012.00","160.96","-","-"
"1","E00490-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","142.33","11.38","-","-"
"2","E00479-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","124932.46","9994.40","-","-"
"2","E00479-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","162.05","12.96","-","-"
"3","E00340-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","556995.32","44558.50","-","-"
"3","E00340-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","292.02","23.35","-","-"
"3","E00340-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","3244.10","259.52","-","-"
"3","E00340-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","308.88","24.70","-","-"
"4","E00335-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","4209968.98","336785.88","-","-"
"4","E00335-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","12346.06","987.57","-","-"
"4","E00335-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","5662.49","452.89","-","-"
"4","E00335-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","127.54","10.20","-","-"
"5","E00497-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","432526.61","34601.28","-","-"
"5","E00497-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","2733.08","218.63","-","-"
"5","E00497-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","296.37","23.70","-","-"
"5","E00497-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","509.59","40.75","-","-"
"6","E02013-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","587656.15","47011.11","-","-"
"7","E00238-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","344521.42","27561.02","-","-"
"8","E00410-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","95298.19","7623.70","-","-"
"9","E00314-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","128443.48","10274.26","-","-"
"9","E00314-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","123292.37","9862.03","-","-"
"9","E00314-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","16760.44","1340.77","-","-"
"10","E02008-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","747690.76","59813.16","-","-"
"10","E02008-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","356.70","28.53","-","-"
"11","E00219-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","929522.08","74360.50","-","-"
"11","E00219-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","566.89","45.35","-","-"
"11","E00219-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","1821.83","145.73","-","-"
"11","E00219-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","2938.65","235.08","-","-"
"12","E00360-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","117913.81","9433.05","-","-"
"12","E00360-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","13 - FGTS (período anterior) mensal","1 - Normal (incidência de FGTS)","284.21","22.73","-","-"
"12","E00360-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","14 - FGTS (período anterior) 13º salário","1 - Normal (incidência de FGTS)","39.16","3.13","-","-"
"13","E00308-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","2523026.79","201839.00","-","-"
"13","E00308-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","1010.60","80.82","-","-"
"13","E00308-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","4828.11","386.21","-","-"
"13","E00308-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","6964.08","557.09","-","-"
"13","E00308-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","724.37","57.93","-","-"
"14","E00263-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","1038422.41","83071.12","-","-"
