CODFPAS|INDCOOP|DtInicio|DtFim|CLASSTRIB|CODTERC|ALIQTERC
507|0;Nulo|01012014|||0001|2,5
507|0;Nulo|01012014|||0002|0,2
507|0;Nulo|01012014|||0004|1
507|0;Nulo|01012014|||0008|1,5
507|0;Nulo|01012014|||0064|0,6
507|0;Nulo|01012014|||4096|2,5
507|1;2;3|01012014|||0001|2,5
507|1;2;3|01012014|||0002|0,2
507|1;2;3|01012014|||0064|0,6
507|1;2;3|01012014|||4096|2,5
515|0;Nulo|01012014|||0001|2,5
515|0;Nulo|01012014|||0002|0,2
515|0;Nulo|01012014|||0016|1
515|0;Nulo|01012014|||0032|1,5
515|0;Nulo|01012014|||0064|0,6
515|0;Nulo|01012014|||4096|2,5
515|1;2;3|01012014|||0001|2,5
515|1;2;3|01012014|||0002|0,2
515|1;2;3|01012014|||0064|0,6
515|1;2;3|01012014|||4096|2,5
523||01012014|||0001|2,5
523||01012014|||0002|0,2
531||01012014|||0001|2,5
531||01012014|||0002|2,7
540||01012014|||0001|2,5
540||01012014|||0002|0,2
540||01012014|||0128|2,5
558||01012014|||0001|2,5
558||01012014|||0002|0,2
558||01012014|||0256|2,5
566|0;Nulo|01012014|||0001|2,5
566|0;Nulo|01012014|||0002|0,2
566|0;Nulo|01012014|||0032|1,5
566|0;Nulo|01012014|||0064|0,3
566|0;Nulo|01012014|||4096|2,5
566|1;2;3|01012014|||0001|2,5
566|1;2;3|01012014|||0002|0,2
566|1;2;3|01012014|||0064|0,3
566|1;2;3|01012014|||4096|2,5
574|0;Nulo|01012014|||0001|2,5
574|0;Nulo|01012014|||0002|0,2
574|0;Nulo|01012014|||0032|1,5
574|0;Nulo|01012014|||0064|0,3
574|0;Nulo|01012014|||4096|2,5
574|1;2;3|01012014|||0001|2,5
574|1;2;3|01012014|||0002|0,2
574|1;2;3|01012014|||0064|0,3
574|1;2;3|01012014|||4096|2,5
582||01012014|||0000|0
590||01012014|||0001|2,5
590||01012014|||0000|0
604||01012014|||0000|0
604||01012014|||0001|2,5
604||01012014|||0002|0,2
612|0;Nulo|01012014|||0000|0
612|0;Nulo|01012014|||0001|2,5
612|0;Nulo|01012014|||0002|0,2
612|0;Nulo|01012014|||0064|0,6
612|0;Nulo|01012014|||1024|1,5
612|0;Nulo|01012014|||2048|1,0
612|0;Nulo|01012014|||4096|2,5
612|1;2;3|01012014|||0001|2,5
612|1;2;3|01012014|||0002|0,2
612|1;2;3|01012014|||0064|0,6
612|1;2;3|01012014|||4096|2,5
620||01012014|||1024|1,5
620||01012014|||2048|1,0
639||01012014|||0000|0
647||01012014|||0001|2,5
647||01012014|||0002|0,2
647||01012014|||0032|1,5
647||01012014|||0064|0,3
655||01012014|||0001|2,5
680||01012014|||0001|2,5
680||01012014|||0002|0,2
680||01012014|||0128|2,5
736||01012014|||0001|2,5
736||01012014|||0002|0,2
744||01012014||21|0512|0,2
744||01012014||22|0512|0,2
744||01012014||06|0512|0,25
744||01012014||07|0512|0,25
744||01012014||99|0512|0,25
779||01012014|||0000|0
787|0;Nulo|01012014|||0001|2,5
787|0;Nulo|01012014|||0002|0,2
787|0;Nulo|01012014|||0512|2,5
787|0;Nulo|01012014|||4096|2,5
787|1;2;3|01012014|||0001|2,5
787|1;2;3|01012014|||0002|0,2
787|1;2;3|01012014|||4096|2,5
795||01012014|||0001|2,5
795||01012014|||0002|2,7
795||01012014|||4096|2,5
825||01012014|||0001|2,5
825||01012014|||0002|2,7
833|0;Nulo|01012014|||0001|2,5
833|0;Nulo|01012014|||0002|0,2
833|0;Nulo|01012014|||0004|1,0
833|0;Nulo|01012014|||0008|1,5
833|0;Nulo|01012014|||0064|0,6
833|0;Nulo|01012014|||4096|2,5
833|1;2;3|01012014|||0001|2,5
833|1;2;3|01012014|||0002|0,2
833|1;2;3|01012014|||0064|0,6
833|1;2;3|01012014|||4096|2,5
868||01012014|||0000|0
876||01012014|||0000|0
