fpas_code,cooperative_indicator,valid_from,valid_to,tax_classification_code,third_party_code,third_party_rate
507,0;Nulo,2014-01-01,,,0001,2.5
507,0;Nulo,2014-01-01,,,0002,0.2
507,0;Nulo,2014-01-01,,,0004,1.0
507,0;Nulo,2014-01-01,,,0008,1.5
507,0;Nulo,2014-01-01,,,0064,0.6
507,0;Nulo,2014-01-01,,,4096,2.5
507,1;2;3,2014-01-01,,,0001,2.5
507,1;2;3,2014-01-01,,,0002,0.2
507,1;2;3,2014-01-01,,,0064,0.6
507,1;2;3,2014-01-01,,,4096,2.5
515,0;Nulo,2014-01-01,,,0001,2.5
515,0;Nulo,2014-01-01,,,0002,0.2
515,0;Nulo,2014-01-01,,,0016,1.0
515,0;Nulo,2014-01-01,,,0032,1.5
515,0;Nulo,2014-01-01,,,0064,0.6
515,0;Nulo,2014-01-01,,,4096,2.5
515,1;2;3,2014-01-01,,,0001,2.5
515,1;2;3,2014-01-01,,,0002,0.2
515,1;2;3,2014-01-01,,,0064,0.6
515,1;2;3,2014-01-01,,,4096,2.5
523,,2014-01-01,,,0001,2.5
523,,2014-01-01,,,0002,0.2
531,,2014-01-01,,,0001,2.5
531,,2014-01-01,,,0002,2.7
540,,2014-01-01,,,0001,2.5
540,,2014-01-01,,,0002,0.2
540,,2014-01-01,,,0128,2.5
558,,2014-01-01,,,0001,2.5
558,,2014-01-01,,,0002,0.2
558,,2014-01-01,,,0256,2.5
566,0;Nulo,2014-01-01,,,0001,2.5
566,0;Nulo,2014-01-01,,,0002,0.2
566,0;Nulo,2014-01-01,,,0032,1.5
566,0;Nulo,2014-01-01,,,0064,0.3
566,0;Nulo,2014-01-01,,,4096,2.5
566,1;2;3,2014-01-01,,,0001,2.5
566,1;2;3,2014-01-01,,,0002,0.2
566,1;2;3,2014-01-01,,,0064,0.3
566,1;2;3,2014-01-01,,,4096,2.5
574,0;Nulo,2014-01-01,,,0001,2.5
574,0;Nulo,2014-01-01,,,0002,0.2
574,0;Nulo,2014-01-01,,,0032,1.5
574,0;Nulo,2014-01-01,,,0064,0.3
574,0;Nulo,2014-01-01,,,4096,2.5
574,1;2;3,2014-01-01,,,0001,2.5
574,1;2;3,2014-01-01,,,0002,0.2
574,1;2;3,2014-01-01,,,0064,0.3
574,1;2;3,2014-01-01,,,4096,2.5
582,,2014-01-01,,,0000,0.0
590,,2014-01-01,,,0001,2.5
590,,2014-01-01,,,0000,0.0
604,,2014-01-01,,,0000,0.0
604,,2014-01-01,,,0001,2.5
604,,2014-01-01,,,0002,0.2
612,0;Nulo,2014-01-01,,,0000,0.0
612,0;Nulo,2014-01-01,,,0001,2.5
612,0;Nulo,2014-01-01,,,0002,0.2
612,0;Nulo,2014-01-01,,,0064,0.6
612,0;Nulo,2014-01-01,,,1024,1.5
612,0;Nulo,2014-01-01,,,2048,1.0
612,0;Nulo,2014-01-01,,,4096,2.5
612,1;2;3,2014-01-01,,,0001,2.5
612,1;2;3,2014-01-01,,,0002,0.2
612,1;2;3,2014-01-01,,,0064,0.6
612,1;2;3,2014-01-01,,,4096,2.5
620,,2014-01-01,,,1024,1.5
620,,2014-01-01,,,2048,1.0
639,,2014-01-01,,,0000,0.0
647,,2014-01-01,,,0001,2.5
647,,2014-01-01,,,0002,0.2
647,,2014-01-01,,,0032,1.5
647,,2014-01-01,,,0064,0.3
655,,2014-01-01,,,0001,2.5
680,,2014-01-01,,,0001,2.5
680,,2014-01-01,,,0002,0.2
680,,2014-01-01,,,0128,2.5
736,,2014-01-01,,,0001,2.5
736,,2014-01-01,,,0002,0.2
744,,2014-01-01,,21,0512,0.2
744,,2014-01-01,,22,0512,0.2
744,,2014-01-01,,06,0512,0.25
744,,2014-01-01,,07,0512,0.25
744,,2014-01-01,,99,0512,0.25
779,,2014-01-01,,,0000,0.0
787,0;Nulo,2014-01-01,,,0001,2.5
787,0;Nulo,2014-01-01,,,0002,0.2
787,0;Nulo,2014-01-01,,,0512,2.5
787,0;Nulo,2014-01-01,,,4096,2.5
787,1;2;3,2014-01-01,,,0001,2.5
787,1;2;3,2014-01-01,,,0002,0.2
787,1;2;3,2014-01-01,,,4096,2.5
795,,2014-01-01,,,0001,2.5
795,,2014-01-01,,,0002,2.7
795,,2014-01-01,,,4096,2.5
825,,2014-01-01,,,0001,2.5
825,,2014-01-01,,,0002,2.7
833,0;Nulo,2014-01-01,,,0001,2.5
833,0;Nulo,2014-01-01,,,0002,0.2
833,0;Nulo,2014-01-01,,,0004,1.0
833,0;Nulo,2014-01-01,,,0008,1.5
833,0;Nulo,2014-01-01,,,0064,0.6
833,0;Nulo,2014-01-01,,,4096,2.5
833,1;2;3,2014-01-01,,,0001,2.5
833,1;2;3,2014-01-01,,,0002,0.2
833,1;2;3,2014-01-01,,,0064,0.6
833,1;2;3,2014-01-01,,,4096,2.5
868,,2014-01-01,,,0000,0.0
876,,2014-01-01,,,0000,0.0
