fpas_code,fpas_description,regime,calculation_base,third_party_name,third_party_code,third_party_rate,convention_situation
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,SALÁRIO EDUCAÇÃO,0001,"2,5%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,INCRA,0002,"0,2%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,SENAI*,0004,"1,0%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,SESI*,0008,"1,5%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,SEBRAE,0064,"0,6%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,TOTAL,0079,"5,8%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,COMBINAÇÃO,0067,"3,3%",Com convênio SESI + SENAI
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,COMBINAÇÃO,0071,"4,3%",Com convênio SESI
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,COMBINAÇÃO,0075,"4,8%",Com convênio SENAI
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",EMPRESAS,Remuneração dos Segurados,COMBINAÇÃO,0079,"5,8%",Sem convênio
